ticker,weight,mc,shares,price
BRK-B,0.10630854159055801,426754506.5307312,941481.0,453.2799987792969
TSN,0.03680956251883668,1232496289.0625,22400000.0,55.02215576171875
SMCI,0.025418856499975412,1784802916.1549492,58556527.0,30.479999542236328
ORLY,0.009940754299525345,4563803494.131882,57730693.0,79.05332946777344
AOS,0.009058789609711178,5008135872.572357,75732188.0,66.12955474853516
TSCO,0.00817422323776982,5550086887.382095,106839001.0,51.94813537597656
FMC,0.007901868015271266,5741382812.115074,124840902.0,45.98959732055664
BKNG,0.006964465504427114,6514160947.116669,33096713.0,196.82199096679688
BWA,0.00664344544596815,6828933807.83514,218699878.0,31.22513771057129
CZR,0.006388825709558344,7101093576.3368225,212480370.0,33.41999816894531
HII,0.006298806546351046,7202578595.267731,39129347.0,184.07101440429688
HAS,0.006090563888789761,7448842181.917442,139501418.0,53.396175384521484
IVZ,0.006078977622730257,7463039350.045227,449439952.0,16.60519790649414
MOS,0.006044608444296689,7505473617.449341,317645280.0,23.628475189208984
MHK,0.006033224103471989,7519636006.9522705,63121264.0,119.12999725341797
CE,0.006017638793398516,7539111396.358589,109312221.0,68.9686050415039
MTCH,0.005722542169812757,7927883772.670343,251090997.0,31.573747634887695
APA,0.005682891232530908,7983198578.001915,369947453.0,21.57927703857422
TFX,0.005565613297655771,8151419579.5078125,46443734.0,175.51171875
MKTX,0.005431883800163645,8352102304.749878,37704364.0,221.51553344726562
