ticker,weight,mc,shares,price
BRK-B,0.1029246206003031,192231583.6843872,941481.0,204.17999267578125
CMG,0.08245083815065143,239965575.38881302,27787300.0,8.6358003616333
AIV,0.06206398702111724,318789748.57640076,155644246.0,2.0481948852539062
TSN,0.020312523128277502,974047521.9726562,22400000.0,43.4842643737793
BBT,0.02014715217012887,982042655.5096798,45416443.0,21.623064041137695
ANET,0.019919154951758226,993283242.4883842,75427300.0,13.168749809265137
MWA,0.01556940574780557,1270784713.2122955,157461336.0,8.070455551147461
TSCO,0.01086658295561147,1820752935.7601662,122068054.0,14.915884017944336
ORLY,0.010759802954485061,1838822039.9392853,80104348.0,22.955333709716797
LRCX,0.010279159782504366,1924803508.9197292,155182806.0,12.403458595275879
NVDA,0.009800423071902507,2018827419.2810059,610000000.0,3.3095531463623047
FTNT,0.008244468726807758,2399834783.0196476,170370205.0,14.086000442504883
CPRT,0.007078044503223733,2795314837.184143,234015480.0,11.944999694824219
AOS,0.00703641286211619,2811853597.2547455,75732188.0,37.128910064697266
XRX,0.006554083603546083,3018784015.41996,229623000.0,13.146697044372559
FAST,0.0063814031793688435,3100472147.2664967,287056618.0,10.800908088684082
COO,0.006321918609462939,3129645292.8855057,49232061.0,63.569252014160156
BKNG,0.006314294302265014,3133424238.8755493,46329586.0,67.63333129882812
MAT,0.005738120608676217,3448056283.131254,345150787.0,9.989999771118164
LEG,0.005657497413315993,3497193436.0133095,130417754.0,26.815317153930664
