ticker,weight,mc,shares,price
BRK-B,0.118815722954815,335788616.9078064,941481.0,356.6600036621094
TSN,0.035759264995181235,1115709936.5234375,22400000.0,49.80847930908203
CMG,0.031782895482871804,1255296808.9203644,27444660.0,45.739200592041016
ORLY,0.010646989386967292,3747253409.1876984,59162175.0,63.33866882324219
TSCO,0.008910255830560211,4477645539.767853,108114204.0,41.41588592529297
COO,0.008514707701047052,4685653187.2482605,49525982.0,94.61000061035156
BKNG,0.008209764742022636,4859696779.577759,34889873.0,139.2867431640625
WHR,0.006881663040923935,5797576405.679672,54853011.0,105.69294738769531
AOS,0.0066977914277332575,5956734799.578674,75732188.0,78.65525817871094
ZION,0.006627734609945992,6019698981.010277,148148799.0,40.632789611816406
HAS,0.006179403072978789,6456443576.623016,138764146.0,46.52818298339844
MHK,0.006053154744226852,6591103146.0,63682156.0,103.5
FOX,0.005919310326350924,6740137799.548973,251821556.0,26.765531539916992
VFC,0.005733364402271398,6958735653.0299,388883404.0,17.89414405822754
XRAY,0.005694495089999952,7006234380.280899,211860391.0,33.07005310058594
FMC,0.005582091329739201,7147315391.516972,124758887.0,57.28902816772461
IVZ,0.005506218213928066,7245802060.11059,449554399.0,16.11774253845215
FOXA,0.0055019288202361434,7251451005.901245,251821556.0,28.795989990234375
PNW,0.005433899594216898,7342234906.283386,113398346.0,64.74728393554688
FRT,0.005227191763847836,7632581523.760574,81623163.0,93.50999450683594
