ticker,weight,mc,shares,price
BRK-B,0.12038426808819216,153442569.3575592,941481.0,162.97999572753906
CMG,0.0845550939953743,218461958.14875412,28949162.0,7.54640007019043
AIV,0.05947114354457388,310605619.88078356,156887997.0,1.9797921180725098
BBBY,0.04158433475557556,444207452.5,25383283.0,17.5
BBT,0.021013287576950573,879066225.9790039,31173020.0,28.1995849609375
TSN,0.01699333301575486,1087018737.7929688,22400000.0,48.52762222290039
NVDA,0.013026010762734713,1418091213.1999004,539495365.0,2.6285512447357178
LRCX,0.01218368585602754,1516131622.5617294,162829959.0,9.311134338378906
TSCO,0.010729449706224628,1721623374.1200132,131249687.0,13.117161750793457
ORLY,0.010535825737197857,1753262806.9638443,94461196.0,18.560667037963867
PBI,0.010166879588301703,1816887005.0291452,185758673.0,9.780900001525879
MWA,0.009978632702544173,1851162574.7054253,161732282.0,11.445844650268555
COO,0.008670034243041982,2130564988.310852,48786598.0,43.671112060546875
KDP,0.008575058151178623,2154162814.9941444,183715145.0,11.72555923461914
FAST,0.006966803208030617,2651441536.971895,289032074.0,9.1735200881958
ISRG,0.006765722950645216,2730243543.880234,38747011.0,70.46333312988281
CTAS,0.0066703738540805,2769270779.985056,104935651.0,26.390180587768555
BKNG,0.006502778182683596,2840643012.3775635,49345008.0,57.566978454589844
R,0.006175343015971745,2991262405.6519203,53468413.0,55.94447708129883
NRG,0.005838732301960047,3163712677.746915,315442997.0,10.029427528381348
