ticker,weight,mc,shares,price
BRK-B,0.14009654515282358,281502819.0,941481.0,299.0
CMG,0.04008883658633253,983754475.0831223,28135406.0,34.96500015258789
TSN,0.023140947937993817,1704233227.5390625,22400000.0,76.08184051513672
MWA,0.018491298285338447,2132763842.9774427,157999037.0,13.498587608337402
ANET,0.014285088955978084,2760750914.0625,76820895.0,35.9375
ORLY,0.012431816641111353,3172309689.821411,67378396.0,47.082000732421875
BKNG,0.01019437830896448,3868560808.460579,41063485.0,94.20926666259766
TECH,0.007910596790057733,4985410511.915726,39295289.0,126.87043762207031
TSCO,0.007829147330630707,5037275545.75264,113814924.0,44.258480072021484
COO,0.007623719503747652,5173009365.480194,49408020.0,104.69979095458984
WRB,0.006697309325306369,5888569644.478313,176640439.0,33.33647537231445
AOS,0.0065962806352118245,5978759027.042847,75732188.0,78.94607543945312
OGN,0.006151875001046277,6410658926.908186,253550029.0,25.283605575561523
ALK,0.006040660362426206,6528685611.591095,125310668.0,52.099998474121094
PNW,0.006029148002217669,6541151814.182453,112818823.0,57.9792594909668
HII,0.005783516664869027,6818960621.6987915,40060998.0,170.21444702148438
VNO,0.005630941004129281,7003726795.17691,191723608.0,36.530330657958984
PVH,0.005326855320501121,7403537363.010368,69977635.0,105.79862213134766
NWL,0.005170794130187403,7626985604.095459,425400000.0,17.928974151611328
NCLH,0.005138790330180296,7674485600.446154,370033061.0,20.739999771118164
