ticker,weight,mc,shares,price
CMG,0.13091279147560492,163203236.697021,28232923.0,5.780600070953369
BRK-B,0.11448585098083584,186620364.9692688,941481.0,198.22000122070312
AIV,0.06918288254005094,308824820.66994214,157023314.0,1.9667450189590454
BBT,0.016466272926917394,1297524423.93536,45267321.0,28.66360092163086
ORLY,0.015669473571652444,1363504089.4106941,85027697.0,16.035999298095703
TSN,0.014735071175039255,1449968652.34375,22400000.0,64.73074340820312
TSCO,0.012929911505122151,1652400427.1334,125564364.0,13.159788131713867
MWA,0.01237828476018754,1726038114.9558563,158061628.0,10.920032501220703
KDP,0.009195281401432614,2323516851.864066,180541455.0,12.86971378326416
NAVI,0.009015224548626195,2369923364.4842176,263012203.0,9.010697364807129
HPQ,0.008148164870689848,2622110822.8572264,165228387.0,15.869614601135254
LRCX,0.008041082711163446,2657029166.507553,161946248.0,16.406858444213867
COO,0.008036713023785832,2658473835.089905,48861006.0,54.408905029296875
SIG,0.007440969043575154,2871318395.324959,60516066.0,47.447208404541016
NVDA,0.0073744937660418335,2897201078.7024517,605647276.0,4.783644199371338
FAST,0.006772365613570451,3154789997.020979,287390374.0,10.977368354797363
BKNG,0.0064203043855755385,3327784791.927063,48769546.0,68.23489379882812
NDAQ,0.005693129782508204,3752837562.127035,166226273.0,22.57668113708496
CTAS,0.005586573111921835,3824418094.2099953,106304385.0,35.97610855102539
TRIP,0.005531754468855997,3862317355.939951,126036505.0,30.644433975219727
