date,inverse_return,spy_return
1996-07-02,-0.002302231143092,-0.003693
1996-07-03,-0.0072819614810668,-0.002085
1996-07-05,-0.0158612558812231,-0.02554
1996-07-08,-0.0046476170564496,-0.004051
1996-07-09,-0.001304365041276,0.004067
1996-07-10,-0.0076051328522486,0.004051
1996-07-11,-0.0167352669330362,-0.020171
1996-07-12,0.0012674815001532,0.000727
1996-07-15,-0.0337941247553744,-0.029526
1996-07-16,-0.0050281655955696,0.002494
1996-07-17,0.0141962635728562,0.01194
1996-07-18,0.0170950580241925,0.013766
1996-07-19,-0.0071137677198635,-0.007274
1996-07-22,-0.0095590368268171,-0.007328
1996-07-23,-0.0091821812429664,-0.012795
1996-07-24,-0.007840416351338,0.001994
1996-07-25,0.0031382388336945,0.008955
1996-07-26,0.0085577870488465,0.005424
1996-07-29,-0.003165899170135,-0.011035
1996-07-30,0.0032754507960913,0.00967
1996-07-31,0.0051562425973848,0.007367
1996-08-01,0.0066963926337643,0.016577
1996-08-02,0.011602610233714,0.021583
1996-08-05,0.0039687880978632,-0.005869
1996-08-06,0.0066543866792569,0.00307
1996-08-07,0.006801610057587,0.002589
1996-08-08,0.0050741700985294,-0.001644
1996-08-09,-0.0003605202822471,-0.003293
1996-08-12,0.002784107247928,0.007315
1996-08-13,-0.0031135091256197,-0.007964
1996-08-14,0.0033737158437169,0.003542
1996-08-15,0.0004927314269448,-0.001882
1996-08-16,0.0037624157507224,0.008487
1996-08-19,0.0067795740870814,0.000468
1996-08-20,-0.0047288328284937,-0.000701
1996-08-21,-0.0015610258125674,-0.003507
1996-08-22,0.0044423222302161,0.009385
1996-08-23,-0.0009264523118297,-0.005346
1996-08-26,-0.0061591339408519,-0.004908
1996-08-27,0.0026758885191311,0.003758
1996-08-28,0.0029567576230095,-0.001638
1996-08-29,-0.0084471566207029,-0.009843
1996-08-30,-0.0047333046716878,-0.010414
1996-09-03,-0.0004753756008747,0.006458
1996-09-04,0.0023820274283357,0.000951
1996-09-05,-0.0075374002195995,-0.012108
1996-09-06,0.0114588591176203,0.014179
1996-09-09,0.0066998798276088,0.011848
1996-09-10,0.0006468832097937,-0.000468
1996-09-11,0.0004702072024171,0.005623
1996-09-12,0.0023967113766896,0.00699
1996-09-13,0.0038770815840096,0.015271
1996-09-16,0.0020479198364171,0.003646
1996-09-17,-0.0003425115387718,-0.002271
1996-09-18,0.0009755682345948,-0.002503
1996-09-19,-0.0018315902922877,0.003879
1996-09-20,0.0044889801159755,0.003528
1996-09-23,-0.0022107121524823,-0.000228
1996-09-24,0.0044745883119769,-0.000228
1996-09-25,0.0047736186275693,0.000683
1996-09-26,-0.0009557904345226,-0.000455
1996-09-27,0.0028316754386443,0.000911
1996-09-30,0.0043632576003858,-0.00091
1996-10-01,-0.0023693207139318,0.005464
1996-10-02,-0.000643827027489,0.006793
