date,inverse_v,spy_v
1996-01-02,1.0,1.0
1996-01-03,1.0068657588075132,1.013468521518
1996-01-04,1.0017296434304581,1.0038111799764549
1996-01-05,1.0007344456887843,1.0017784623370025
1996-01-08,1.0042398746529997,1.005590229386195
1996-01-09,0.988451024748876,0.9883091612941931
1996-01-10,0.9721675622708784,0.975348474952981
1996-01-11,0.9767470234236607,0.9811937383633742
1996-01-12,0.976224226821741,0.9796689632939575
1996-01-15,0.9735735030555679,0.9776361501951225
1996-01-16,0.975648030943491,0.9895799310420562
1996-01-17,0.9694883482645431,0.9865300456945846
1996-01-18,0.9730438426401099,0.9898339348176158
1996-01-19,0.9774702211123677,0.9964410763325234
1996-01-22,0.9848414605252613,0.9966951688069882
1996-01-23,0.9864350449106928,0.9989825842194001
1996-01-24,0.9981796226345163,1.007114302454946
1996-01-25,0.9936935759708228,1.0035561676243727
1996-01-26,0.9928504623516962,1.0121967862276187
1996-01-29,0.9967635841654713,1.016262780717895
1996-01-30,1.0021903503460463,1.0249030468795586
1996-01-31,1.0124235405831683,1.0355763872097623
1996-02-01,1.0161609884302958,1.0393883438910816
1996-02-02,1.0164056029672728,1.0350686459338703
1996-02-05,1.0232029694875349,1.0434547721032266
1996-02-06,1.0303982566819823,1.053365505528663
1996-02-07,1.0300719211871012,1.059464491805674
1996-02-08,1.0369993322532636,1.0709003515302244
1996-02-09,1.0387749365798264,1.0706465481469118
1996-02-12,1.0430491954953782,1.0787791793266357
1996-02-13,1.0406533168924974,1.0764921674664631
1996-02-14,1.0357324140847926,1.0670890083836435
1996-02-15,1.033714343181884,1.060481593243732
1996-02-16,1.032401660510439,1.056161191232857
1996-02-20,1.0201057436468928,1.0457421610813449
1996-02-21,1.0327400011546939,1.0587030894257872
1996-02-22,1.0444822727476906,1.0754761224715599
1996-02-23,1.0419783670441587,1.0724260721882306
1996-02-26,1.0321851993652598,1.0571783182938583
1996-02-27,1.027063384307349,1.05387463604919
1996-02-28,1.0270027067840997,1.0490457824668127
1996-02-29,1.0260050817522637,1.0388805288347094
1996-03-01,1.0344907816398845,1.0553987292431812
1996-03-04,1.0463791284817374,1.0614978784994775
1996-03-05,1.052700425178983,1.071409084191027
1996-03-06,1.0511532034255708,1.0620063980681667
1996-03-07,1.052565671390147,1.0673429802184593
1996-03-08,1.0221811837501702,1.0327813471760054
1996-03-11,1.034878971289142,1.044725463456096
1996-03-12,1.0301213776490767,1.0365933204485538
1996-03-13,1.0424100004472017,1.0437084970001127
1996-03-14,1.0506560087229222,1.0482830713424642
1996-03-15,1.0493099593275956,1.0475891079492354
1996-03-18,1.0618100457298232,1.0677551982772582
1996-03-19,1.0649700567901514,1.0654573890905654
1996-03-20,1.0601981199925345,1.064180971138435
1996-03-21,1.0591162184182956,1.0616280009886738
1996-03-22,1.0647380736202,1.0644360070512888
1996-03-25,1.0602157874754083,1.0623944187897645
1996-03-26,1.0639883145735753,1.0674992239720493
1996-03-27,1.064127269765283,1.0577988585238154
1996-03-28,1.0667101343267895,1.0618830199165756
1996-03-29,1.0628853650835637,1.0567774863568167
1996-04-01,1.0703321822771843,1.0690297645336377
1996-04-02,1.0697359782405078,1.0710716113838972
1996-04-03,1.0764145651510282,1.0710716113838972
1996-04-04,1.0804114082116776,1.0703057951817576
1996-04-08,1.065245463252269,1.0519265040668966
1996-04-09,1.0744111572181763,1.0478418734516048
1996-04-10,1.0663613479810643,1.029208101416015
1996-04-11,1.0649826483737124,1.027931883370259
1996-04-12,1.0701979600592202,1.0409506406731432
1996-04-15,1.0817966518577358,1.0496290461644353
1996-04-16,1.090465653399886,1.052691863721143
1996-04-17,1.0868384311511767,1.0501390859516193
1996-04-18,1.094474717821222,1.0516701887389368
1996-04-19,1.1017185260034603,1.054222592287006
1996-04-22,1.1034850162603456,1.062390708932046
1996-04-23,1.1165389021926266,1.0657096175067495
1996-04-24,1.1164832700449745,1.0618805228510477
1996-04-25,1.1233720869992372,1.0667301311989084
1996-04-26,1.1247548055505008,1.0690278679015108
1996-04-29,1.12622052232093,1.0690278679015108
1996-04-30,1.122250275856509,1.0682624439480932
1996-05-01,1.1240525013211273,1.0705602764650255
1996-05-02,1.1121919407235952,1.0521819681989504
1996-05-03,1.1100054035197147,1.0506499912532528
1996-05-06,1.1089349242494722,1.0496287594617546
1996-05-07,1.1026928181880329,1.0452895941701397
1996-05-08,1.1060856600635842,1.0583076307759345
1996-05-09,1.1137666327645717,1.0575414160512528
1996-05-10,1.1220306407037188,1.068006845904496
1996-05-13,1.1317075223305029,1.0840878249832802
1996-05-14,1.135906442525548,1.0907246106478277
1996-05-15,1.1372169242166708,1.0894484628533696
1996-05-16,1.1369095472810409,1.0917461096615273
1996-05-17,1.1405088447518992,1.097617520239287
1996-05-20,1.1428989853332414,1.1050198527957809
1996-05-21,1.1423132281696255,1.103488295279806
1996-05-22,1.1492957541619417,1.1139537782722397
1996-05-23,1.1440591184428925,1.1093587189368668
1996-05-24,1.1466222694099997,1.1136985302453477
1996-05-28,1.1343458945669678,1.1024668805678233
1996-05-29,1.1272029645530668,1.0950638154648102
1996-05-30,1.137731353449594,1.1006793027105137
1996-05-31,1.1381441591935122,1.092511161605099
1996-06-03,1.1348205333305337,1.0955745629022398
1996-06-04,1.1437645021157126,1.1032326290969265
1996-06-05,1.1501075841718815,1.1129322503719465
1996-06-06,1.1416430328716058,1.104764440586467
1996-06-07,1.136934082749863,1.104764440586467
1996-06-10,1.1332054988642426,1.1011905276211698
1996-06-11,1.1307960461084425,1.100169724002065
1996-06-12,1.12413614795326,1.0981278089943172
1996-06-13,1.1186914365674474,1.0981278089943172
1996-06-14,1.1115219567852883,1.093533242241485
1996-06-17,1.1111378007805235,1.092767768971916
1996-06-18,1.1112920339547214,1.0838332996928017
1996-06-19,1.1071900867827813,1.088683453708927
1996-06-20,1.1019409059597707,1.0879181092409695
1996-06-21,1.1054594848324015,1.097225248665526
1996-06-24,1.1087301026601362,1.0992781571057793
1996-06-25,1.0993255475118227,1.0979952994964368
1996-06-26,1.0884701322153512,1.0905541853517495
1996-06-27,1.088985412317628,1.0982524073461475
1996-06-28,1.1011175173628922,1.1021017820338959
1996-07-01,1.1121528576422175,1.111596388886118
1996-07-02,1.1095924246974749,1.1074912634219616
