ticker,weight,mc,shares,price
CNP,0.0645575542684692,106193750.0,5228000.0,20.3125
HSH,0.05381316424389406,127396500.0,15442000.0,8.25
BEAM,0.04834670982762191,141800937.5,31294000.0,4.53125
CMI,0.043155577802800306,158858000.0,11347000.0,14.0
EXC,0.03401283940672463,201559437.5,11159000.0,18.0625
MWI,0.0303488200917345,225893750.0,19225000.0,11.75
ADP,0.023826037682449362,287736000.0,11989000.0,24.0
COP,0.02017167581389493,339863125.0,20755000.0,16.375
CHRS,0.013770819384844531,497835937.5,106205000.0,4.6875
AS,0.012968549267368753,528633437.5,107065000.0,4.9375
CAR,0.0118745356327366,577337000.0,33961000.0,17.0
ACV,0.011111611581302463,616977000.0,22851000.0,27.0
JH,0.010525795933760546,651315000.0,31015000.0,21.0
SMI,0.010227977529684983,670280000.0,12890000.0,52.0
NC,0.009879368603146022,693931875.0,6474000.0,107.1875
PGN,0.008697452538554131,788231812.5,40293000.0,19.5625
DGN,0.008074453011935335,849049312.5,48691000.0,17.4375
KBH,0.007841459066547186,874277187.5,38965000.0,22.4375
PHM,0.007723796309972473,887595750.0,21228000.0,41.8125
JOS,0.007647205424513001,896485500.0,38872000.0,23.0625
