ticker,weight,mc,shares,price
OMX,0.023869026539415226,510057000.0,113346000.0,4.5
FCX,0.01701733995490839,715421100.0,55459000.0,12.9
CMCSA,0.01549234208012597,785844000.0,21829000.0,36.0
PWER,0.01482020243723275,821484330.0,78913000.0,10.41
AM,0.014076464462140378,864887920.0,62764000.0,13.78
LPX,0.013809355950334484,881617080.0,104457000.0,8.44
ACV,0.012538227845331646,970995600.0000001,24840000.0,39.09
SAPE,0.012484887432854551,975144080.0,126314000.0,7.72
PVN,0.012066409821779447,1008963250.0,284215000.0,3.55
HPC,0.011220486133668665,1085030000.0,108503000.0,10.0
TUP,0.010881333862104218,1118848500.0,58122000.0,19.25
CTB,0.010510889541638799,1158281040.0,72574000.0,15.96
WOR,0.010040327745857473,1212566400.0,85392000.0,14.2
GLK,0.009991104496214234,1218540360.0,50187000.0,24.28
TNB,0.009899386166980214,1229830200.0,58148000.0,21.15
DDS,0.009547180104779259,1275200000.0,79700000.0,16.0
R,0.009059978550422603,1343774050.0,60667000.0,22.15
ATI,0.009055950535716412,1344371750.0,80261000.0,16.75
PGL,0.009054799533627665,1344542640.0,35448000.0,37.93
MDP,0.008796396425995154,1384039950.0,38823000.0,35.65
