ticker,weight,mc,shares,price
NWS,0.01631045249788897,3563400920.0000005,193243000.0,18.44
RL,0.013385428533234189,4342085970.0,41091000.0,105.67
NCLH,0.011268312195645497,5157887040.0,421396000.0,12.24
GNRC,0.009113517279514434,6377414960.0,63356000.0,100.66
AIZ,0.008796774150644083,6607044860.0,52831000.0,125.06
DVA,0.008638926026509813,6727767000.0,90100000.0,74.67
FOX,0.008578305094469595,6775310600.0,238148000.0,28.45
NWSA,0.008352170490775924,6958751800.0,382349000.0,18.2
AOS,0.008003355949653401,7262038800.0,126870000.0,57.24
NRG,0.007928265912442492,7330818880.0,230384000.0,31.82
PNR,0.00785508021526758,7399120039.999999,164498000.0,44.98
FRT,0.007109611902114318,8174944320.000001,80908000.0,101.04
IVZ,0.007103843776303567,8181582149.999999,454785000.0,17.99
HAS,0.006894209621773747,8430361800.0,138180000.0,61.01
PNW,0.006755732033868306,8603165600.0,113140000.0,76.04
FFIV,0.006736762911251544,8627390068.83,60117000.0,143.50999
UHS,0.006429933485783496,9039079730.0,64157000.0,140.89
FOXA,0.006423736294334729,9047800030.0,297919000.0,30.37
TPR,0.006334130415586824,9175794880.0,240961000.0,38.08
HII,0.0063139965729754,9205054320.960001,39904000.0,230.67999
