ticker,weight,mc,shares,price
LB,0.039897047062139736,222367600.0,15496000.0,14.35
GHC,0.024345282869838492,364416000.0,39936000.0,9.125
STZ,0.02351542174199046,377276270.0,23743000.0,15.89
CBS,0.018645678234411323,475810560.0,57744000.0,8.24
JNY,0.018147350389973987,488876360.0,83426000.0,5.86
THC,0.016167407313183713,548746650.0,477171000.0,1.15
CIEN,0.0146261676533799,606571100.0,90533000.0,6.7
MDP,0.01441362990891903,615515360.0,35953000.0,17.12
ETFC,0.013689978785318763,648051450.0,563523000.0,1.15
ACAS,0.013376712989040062,663228000.0,204700000.0,3.24
TER,0.012418628534058595,714395360.0,169288000.0,4.22
CVG,0.011338602201027973,782443060.0,122066000.0,6.41
ODP,0.010830372051602725,819160280.0,274886000.0,2.98
HAR,0.009057724195655046,979474580.0,58546000.0,16.73
DYN,0.008820545591318322,1005812000.0,502906000.0,2.0
AKS,0.008497991437204885,1043989120.0,112016000.0,9.32
NYT,0.008465946522565009,1047940780.0,142966000.0,7.33
KBH,0.008393761858305643,1056952859.9999999,77603000.0,13.62
MBI,0.007975989567318738,1112314720.0,273296000.0,4.07
LEN,0.007915504823653932,1120814250.0,129275000.0,8.67
