ticker,weight,mc,shares,price
NWS,0.010768836587829603,5774701100.0,189770000.0,30.43
HII,0.008410206989895327,7394207130.0,39129000.0,188.97
HAS,0.007973178438857295,7799500910.0,139501000.0,55.91
MOS,0.00796479119150378,7807714099.999999,317645000.0,24.58
IVZ,0.007915623817427395,7856211200.0,449440000.0,17.48
AOS,0.007600066817221519,8182403389.999999,119959000.0,68.21
APA,0.007280058245214215,8542076230.0,369947000.0,23.09
HSIC,0.007207620725485643,8627925200.0,124681000.0,69.2
AES,0.0067956915311952895,9150917490.0,711027000.0,12.87
GNRC,0.006741110687210796,9225009850.0,59497000.0,155.05
RL,0.006694439924800702,9289322660.0,40217000.0,230.98
GL,0.006642792743030132,9361546400.0,83945000.0,111.52
CRL,0.006587791161699679,9439706111.36,51136000.0,184.60001
WYNN,0.006572505232745392,9461660400.0,109815000.0,86.16
FRT,0.006537914677581215,9511719800.0,84964000.0,111.95
PNW,0.006452019167334557,9638349000.0,113700000.0,84.77
ALB,0.006146251850340976,10117843200.0,117540000.0,86.08
MGM,0.006027786670111556,10316691000.0,297740000.0,34.65
NWSA,0.0059593889622441935,10435098780.0,378907000.0,27.54
UHS,0.005903076061750258,10534645300.0,58715000.0,179.42
