ticker,weight,mc,shares,price
CBS,0.015146302382364342,2127927000.0,37850000.0,56.22
STZ,0.01404327705482527,2295064440.0,23388000.0,98.13
DNR,0.011244394379712667,2866337190.0000005,352563000.0,8.13
QEP,0.008848106492833808,3642612780.0,180149000.0,20.22
GME,0.008787328719749271,3667806999.9999995,108515000.0,33.8
NFX,0.00866019685695939,3721650480.0,137229000.0,27.12
ATI,0.00852740966342243,3779603310.0000005,108703000.0,34.77
AVP,0.00789681705217501,4081419840.0000005,434656000.0,9.39
GNW,0.007634581543438973,4221610000.0,496660000.0,8.5
DNB,0.007420038602715777,4343673600.0,35910000.0,120.96
OI,0.0072412488367513805,4450920900.0,164910000.0,26.99
FSLR,0.007206491501607088,4472387955.0,100289000.0,44.595
FLIR,0.007146712432446142,4509797490.0,139579000.0,32.31
JOY,0.007115313039304036,4529698920.0,97371000.0,46.52
CVC,0.007114345612461579,4530314880.0,219492000.0,20.64
URBN,0.006969219262885137,4624653720.0,131644000.0,35.13
PBCT,0.00689799636110178,4672404000.0,307800000.0,15.18
AVY,0.006819306904296415,4726319880.0,91101000.0,51.88
AIZ,0.006704085893236152,4807549650.000001,70255000.0,68.43
TE,0.006702288276528772,4808839080.0,234692000.0,20.49
