ticker,weight,mc,shares,price
LB,0.07215776372815522,221322580.0,15391000.0,14.38
GHC,0.04401688390843547,362818560.00000006,39936000.0,9.085
STZ,0.028303329652950987,564249600.0,23808000.0,23.7
DDS,0.01195109720147442,1336290900.0,71155000.0,18.78
JNY,0.011714263734903611,1363307400.0,85260000.0,15.99
BIG,0.011047231727699783,1445623920.0,90408000.0,15.99
BC,0.010651669913059759,1499308800.0,87936000.0,17.05
OMX,0.010252373194807651,1557702020.0,75397000.0,20.66
CBS,0.010020050862344572,1593818500.0,59582000.0,26.75
ETFC,0.009760579720303355,1636187900.0,460898000.0,3.55
UIS,0.009604868689983514,1662713250.0000002,351525000.0,4.73
TER,0.00889479559922285,1795447940.0,173641000.0,10.34
MTG,0.008704891823413089,1834616990.0,81793000.0,22.43
GAS,0.008356764430613237,1911043750.0,45125000.0,42.35
QLGC,0.008318967971345152,1919726400.0,135192000.0,14.2
KBH,0.008255085146719897,1934582400.0000002,89564000.0,21.6
MDP,0.007605767123806056,2099741179.9999998,38191000.0,54.98
CVG,0.007449742134558576,2143717480.0,130238000.0,16.46
HPC,0.007137560177250243,2237479200.0,115632000.0,19.35
WEN,0.007071876420936637,2258260960.0,87394000.0,25.84
