ticker,weight,mc,shares,price
BMC,0.0658904241924657,133565250.0,27398000.0,4.875
COP,0.044104795930002653,199540000.0,29024000.0,6.875
GRA,0.04117323536662253,213747375.0,67058000.0,3.1875
PRD,0.03350729041585223,262649437.5,45187000.0,5.8125
OMX,0.02710499800346172,324688125.0,112935000.0,2.875
SMI,0.02517739694110148,349546500.0,10776000.0,32.4375
RML,0.017881059849231957,492178375.0,31882000.0,15.4375
AM,0.015817243848478275,556397250.0,58956000.0,9.4375
WOR,0.01272877488807475,691399687.5,85755000.0,8.0625
CTB,0.011418821102932148,770716250.0,72538000.0,10.625
FCX,0.011270649263002452,780848625.0,91194000.0,8.5625
OI,0.01059610716648313,830557000.0,146032000.0,5.6875
ACV,0.010347793518025184,850487687.5,23341000.0,36.4375
LDG,0.009759086463762704,901792500.0,37380000.0,24.125
CMCSA,0.009757549999332246,901934500.0,21832000.0,41.3125
TKR,0.009694800628541717,907772250.0,60018000.0,15.125
CCK,0.009394792364428481,936760562.5,125951000.0,7.4375
TNB,0.009373634381438135,938875000.0,58000000.0,16.1875
PCH,0.009222939216881752,954215437.5,28431000.0,33.5625
BGG,0.008893098059643865,989606875.0,22301000.0,44.375
