ticker,weight,mc,shares,price
NWS,0.021792092532852383,2305726500.0,199630000.0,11.55
NWSA,0.011490976685451362,4372701000.0,385260000.0,11.35
PWR,0.011431288105520092,4395533100.0,146031000.0,30.1
AIZ,0.009053263343651398,5550109760.0,62054000.0,89.44
RL,0.008901921702266499,5644467220.0,54557000.0,103.46
AOS,0.008178021306519415,6144103000.0,143890000.0,42.7
KIM,0.008139239816930679,6173378150.0,421391000.0,14.65
PNR,0.007661125014049754,6558645780.0,173601000.0,37.78
IVZ,0.007297171464671186,6885764639.999999,411336000.0,16.74
PHM,0.006883495106481754,7299577390.0,280861000.0,25.99
ALLE,0.006631539810933503,7576913759.999999,95056000.0,79.71
AVY,0.006450838056868326,7789159300.0,86710000.0,89.83
PKG,0.006371039882796019,7886719619.999999,94497000.0,83.46
SNA,0.00621092386317836,8090037223.179999,55682000.0,145.28999
24643,0.006167149578321576,8147460120.0,483242000.0,16.86
HII,0.006146692726520613,8174575740.0,42954000.0,190.31
ALB,0.0061386421047229306,8185296419.999999,106206000.0,77.07
62308,0.006044285416684843,8313076200.0,111540000.0,74.53
URI,0.006042530467640137,8315490590.0,81103000.0,102.53
52329,0.006038599248301618,8320904100.0,142335000.0,58.46
