,inverse_return,spy_return
1996-06-28,0.01114074156369482,0.003505
1996-07-01,0.010021945982436383,0.008615
1996-07-02,-0.0023022311430920704,-0.003693
1996-07-03,-0.007281961481066819,-0.002085
1996-07-05,-0.015861255881223165,-0.02554
1996-07-08,-0.004647617056449606,-0.004051
1996-07-09,-0.001304365041276037,0.004067
1996-07-10,-0.007605132852248615,0.004051
1996-07-11,-0.016735266933036227,-0.020171
1996-07-12,0.0012674815001532853,0.000727
1996-07-15,-0.03379412475537442,-0.029526
1996-07-16,-0.0050281655955696225,0.002494
1996-07-17,0.014196263572856268,0.01194
1996-07-18,0.017095058024192526,0.013766
1996-07-19,-0.0071137677198635585,-0.007274
1996-07-22,-0.009559036826817182,-0.007328
1996-07-23,-0.009182181242966454,-0.012795
1996-07-24,-0.00784041635133805,0.001994
1996-07-25,0.0031382388336945147,0.008955
1996-07-26,0.00855778704884651,0.005424
1996-07-29,-0.003165899170135093,-0.011035
1996-07-30,0.0032754507960913383,0.00967
1996-07-31,0.0051562425973848145,0.007367
1996-08-01,0.0066963926337643255,0.016577
1996-08-02,0.011602610233714079,0.021583
1996-08-05,0.003968788097863201,-0.005869
1996-08-06,0.006654386679256922,0.00307
1996-08-07,0.006801610057587047,0.002589
1996-08-08,0.005074170098529473,-0.001644
1996-08-09,-0.00036052028224710955,-0.003293
1996-08-12,0.0027841072479280384,0.007315
1996-08-13,-0.0031135091256197967,-0.007964
1996-08-14,0.0033737158437169255,0.003542
1996-08-15,0.0004927314269448705,-0.001882
1996-08-16,0.003762415750722422,0.008487
1996-08-19,0.00677957408708147,0.000468
1996-08-20,-0.004728832828493758,-0.000701
1996-08-21,-0.0015610258125674725,-0.003507
1996-08-22,0.004442322230216159,0.009385
1996-08-23,-0.000926452311829725,-0.005346
1996-08-26,-0.006159133940851981,-0.004908
1996-08-27,0.002675888519131138,0.003758
1996-08-28,0.0029567576230095133,-0.001638
1996-08-29,-0.00844715662070296,-0.009843
1996-08-30,-0.004733304671687897,-0.010414
1996-09-03,-0.00047537560087473207,0.006458
1996-09-04,0.002382027428335708,0.000951
1996-09-05,-0.007537400219599587,-0.012108
1996-09-06,0.011458859117620382,0.014179
1996-09-09,0.006699879827608819,0.011848
1996-09-10,0.0006468832097937554,-0.000468
1996-09-11,0.0004702072024171174,0.005623
1996-09-12,0.002396711376689613,0.00699
1996-09-13,0.003877081584009612,0.015271
1996-09-16,0.0020479198364171352,0.003646
1996-09-17,-0.00034251153877186776,-0.002271
1996-09-18,0.000975568234594858,-0.002503
1996-09-19,-0.0018315902922877673,0.003879
1996-09-20,0.0044889801159755495,0.003528
1996-09-23,-0.002210712152482399,-0.000228
1996-09-24,0.004474588311976942,-0.000228
1996-09-25,0.004773618627569313,0.000683
1996-09-26,-0.0009557904345226577,-0.000455
1996-09-27,0.002831675438644339,0.000911
1996-09-30,0.004363257600385835,-0.00091
1996-10-01,-0.002369320713931888,0.005464
1996-10-02,-0.0006438270274890447,0.006793
1996-10-03,-0.0028978509989172267,-0.0009
1996-10-04,0.010267759878561012,0.013507
1996-10-07,-0.00037418710207184414,0.001111
1996-10-08,0.011335985219482656,-0.003994
