ticker,weight,mc,shares,price
PTC,0.12227960825565619,127912620.0,14181000.0,9.02
LB,0.07637980360132976,204780640.0,15248000.0,13.43
STZ,0.022566359511093405,693116010.0,23843000.0,29.07
PMCS,0.011065816129094859,1413461500.0,210650000.0,6.71
ANDW,0.009764935504351292,1601762250.0,156575000.0,10.23
ADCT,0.009184895241194875,1702916000.0,117200000.0,14.53
PGL,0.009097904671150597,1719198610.0,38573000.0,44.57
SANM,0.008553127472653724,1828700100.0,530058000.0,3.45
CBS,0.0079620539156038,1964456060.0,62923000.0,31.22
ACV,0.00778316377015822,2009607600.0,93688000.0,21.45
GAS,0.00747509833769889,2092427999.9999998,44710000.0,46.8
NOVL,0.007347206546365731,2128850600.0,343363000.0,6.2
MDP,0.0072231349832603264,2165417800.0,38428000.0,56.35
HPC,0.0071327955466384445,2192843600.0,113560000.0,19.31
LPX,0.006970434226593588,2243921190.0,104223000.0,21.53
CIEN,0.0066411400515845155,2355183740.0,84994000.0,27.71
TEK,0.0065097144441459195,2402732900.0,82370000.0,29.17
DJ,0.006499210952039966,2406616000.0,63332000.0,38.0
BIG,0.006232559953012453,2509579560.0,109493000.0,22.92
NAV,0.006209291325075906,2518983930.0,75351000.0,33.43
