ticker,weight,mc,shares,price
ES,0.06839887275204835,281620560.0,90263000.0,3.12
STZ,0.023321304559800794,825962750.0,23525000.0,35.11
CBS,0.011738816998257268,1640925899.9999998,43205000.0,37.98
BIG,0.011690816654864862,1647663240.0,57894000.0,28.46
AMD,0.011273370648676003,1708675200.0,711948000.0,2.4
FII,0.009163472366790949,2102099300.0,103910000.0,20.23
PBI,0.009018032446029528,2136001280.0,200752000.0,10.64
APOL,0.008216474313145407,2344378880.0,112064000.0,20.92
FHN,0.007865152525423545,2449097940.0,247134000.0,9.91
R,0.007547947329658219,2552022160.0,51112000.0,49.93
ETFC,0.0075223088003014615,2560720300.0,286114000.0,8.95
MOLX,0.00737560295020636,2611654800.0,95560000.0,27.33
FSLR,0.0071636907918907,2688911262.0,87145000.0,30.8556
AIZ,0.007052854921023741,2731167600.0,78708000.0,34.7
WPX,0.006498944666693321,2963947200.0,199190000.0,14.88
HAR,0.006361426210631377,3028020480.0,67832000.0,44.64
GME,0.006335511632557716,3040406200.0,121180000.0,25.09
DF,0.006298655684565796,3058196830.0000005,185233000.0,16.51
CVC,0.006168374110988708,3122788680.0,209022000.0,14.94
TER,0.006071106191933632,3172820280.0,187852000.0,16.89
