ticker,weight,mc,shares,price
NWS,0.012523063065410511,4917072440.0,191177000.0,25.72
RL,0.010742192485105283,5732238400.0,39752000.0,144.2
FOX,0.009453263804998188,6513814650.0,235581000.0,27.65
HAS,0.008689230483279712,7086566340.0,138789000.0,51.06
FOXA,0.008617689566499243,7145396430.0,240829000.0,29.67
GNRC,0.007755780986522842,7939472294.320001,61432000.0,129.24001
IVZ,0.007677864756994524,8020043360.0,449554000.0,17.84
PNW,0.00755867122573896,8146512320.0,113398000.0,71.84
FRT,0.007320767681996943,8411250150.0,81623000.0,103.05
TPR,0.0072989984569098425,8436336660.000001,229186000.0,36.81
NCLH,0.007222647994639145,8525517000.0,425425000.0,20.04
AIZ,0.006949148449071899,8861058115.91,52591000.0,168.49001
UHS,0.0066212283341772855,9299907080.0,61007000.0,152.44
NWSA,0.006596934051860604,9334155500.0,380210000.0,24.55
DVA,0.006437999029682401,9564588000.0,91300000.0,104.76
HSIC,0.006292744467595018,9785366080.0,129248000.0,75.71
CHRW,0.0061042155164679,10087587520.0,116768000.0,86.39
AOS,0.006081095317309942,10125940320.0,122828000.0,82.44
WYNN,0.006048589631122075,10180358070.0,111737000.0,91.11
HII,0.0059704012111488625,10313680117.230001,39723000.0,259.64001
