ticker,weight,mc,shares,price
PTC,0.13183485566539294,101936600.0,9005000.0,11.32
LB,0.07056368285096967,190449200.0,14996000.0,12.7
PWER,0.017881968215603155,751527840.0,84252000.0,8.92
AMCC,0.01037019937013062,1295905360.0,307816000.0,4.21
DYN,0.010273615888582274,1308088320.0,283136000.0,4.62
GLK,0.009237833312008498,1454756380.0,51062000.0,28.49
CTB,0.008329572003600317,1613383850.0,74867000.0,21.55
GAS,0.008252442504446582,1628462960.0,44084000.0,36.94
HPC,0.008082538372802622,1662695100.0,111966000.0,14.85
PGL,0.008079018034908866,1663419600.0,37848000.0,43.95
MYG,0.008039760262093859,1671542000.0,79220000.0,21.1
CIEN,0.007030822204912391,1911411860.0,572279000.0,3.34
SNA,0.006797432867379304,1977040040.0,57539000.0,34.36
PMCS,0.006691836472539177,2008237500.0,178510000.0,11.25
CMS,0.006604199117337046,2034886699.9999998,194726000.0,10.45
ATI,0.006493652050215892,2069528340.0000002,95502000.0,21.67
DDS,0.00640246435573177,2099003790.0,78117000.0,26.87
LSI,0.00637084363039834,2109421880.0000002,384931000.0,5.48
CVG,0.00633124867481599,2122613980.0,141602000.0,14.99
ADCT,0.00618994750418729,2171068000.0,810100000.0,2.68
