ticker,weight,mc,shares,price
LB,0.0685213296618978,217331880.0,15124000.0,14.37
PTC,0.05109053587045429,291480000.0,10500000.0,27.76
STZ,0.023757765844775645,626821120.0,23888000.0,26.24
AMCC,0.019757305922992976,753739880.0,293284000.0,2.57
GTW,0.015898280469863024,936696859.9999999,373186000.0,2.51
CTB,0.01585318902225804,939361120.0,61316000.0,15.32
HPC,0.011687340797056649,1274188000.0,112760000.0,11.3
PGL,0.011094547664068408,1342269180.0,38274000.0,35.07
PMCS,0.010537028630303194,1413289260.0,183306000.0,7.71
DYN,0.01009423058792347,1475285240.0,304811000.0,4.84
MYG,0.009871983013146039,1508498280.0,80154000.0,18.82
ANDW,0.008711115001449592,1709525060.0,159322000.0,10.73
CIEN,0.008631913771317312,1725210630.0,580879000.0,2.97
GAS,0.008575312484703218,1736597870.0,44177000.0,39.31
OMX,0.008294168346226361,1795462640.0,70799000.0,25.36
DDS,0.008003985191616084,1860556840.0,74962000.0,24.82
UIS,0.007484796660195342,1989615760.0,341272000.0,5.83
NAV,0.007421953105543968,2006462340.0,70107000.0,28.62
MDP,0.007162104644710812,2079258840.0000002,39726000.0,52.34
SNA,0.006844159257390266,2175850800.0,57930000.0,37.56
