ticker,weight,mc,shares,price
BMC,0.06381672637614527,133428750.0,27370000.0,4.875
CMI,0.05594458441300897,152203937.5,21551000.0,7.0625
COP,0.028729077119348058,296389125.0,29273000.0,10.125
NC,0.02354803199235923,361600750.0,6508000.0,55.5625
SMI,0.019862845901353555,428689125.0,10734000.0,39.9375
RBK,0.018483929506347415,460669687.5,56265000.0,8.1875
PBY,0.017924550526603935,475046000.0,53152000.0,8.9375
ACV,0.017228199724957545,494247000.0,22724000.0,21.75
BEAM,0.015558437533738931,547290562.5,46827000.0,11.6875
RML,0.015377741390683028,553721500.0,33058000.0,16.75
CAR,0.014522242226726585,586341000.0,32688000.0,17.9375
OMX,0.012506184850176823,680862000.0,125216000.0,5.4375
OKE,0.010973478713750368,775960500.0,30884000.0,25.125
JOS,0.01049695153136994,811186562.5,33365000.0,24.3125
PRD,0.010165611276756869,837626562.5,44525000.0,18.8125
PHM,0.008750146208823216,973125000.0,43250000.0,22.5
TUP,0.008719168241656104,976582375.0,57658000.0,16.9375
GRA,0.00839772751051582,1013963125.0,71785000.0,14.125
LDG,0.008384038870359524,1015618625.0,39346000.0,25.8125
IKN,0.008381656917460813,1015907250.0,149124000.0,6.8125
