,inverse_v,spy_v,inverse_v_with_25bps_slip
1996-01-02,1.0,1.0,1.0
1996-01-03,1.0068657588075132,1.013468521518,1.0068657588075132
1996-01-04,1.001729643430458,1.0038111799764549,1.001729643430458
1996-01-05,1.0007344456887841,1.0017784623370025,1.0007344456887841
1996-01-08,1.0042398746529995,1.005590229386195,1.0042398746529995
1996-01-09,0.9884510247488759,0.9883091612941931,0.9884510247488759
1996-01-10,0.9721675622708783,0.975348474952981,0.9721675622708783
1996-01-11,0.9767470234236608,0.9811937383633742,0.9767470234236608
1996-01-12,0.976224226821741,0.9796689632939575,0.976224226821741
1996-01-15,0.9735735030555678,0.9776361501951225,0.9735735030555678
1996-01-16,0.9756480309434908,0.9895799310420562,0.9756480309434908
1996-01-17,0.969488348264543,0.9865300456945846,0.969488348264543
1996-01-18,0.9730438426401098,0.9898339348176158,0.9730438426401098
1996-01-19,0.9774702211123678,0.9964410763325234,0.9774702211123678
1996-01-22,0.9848414605252614,0.9966951688069882,0.9848414605252614
1996-01-23,0.9864350449106929,0.9989825842194001,0.9864350449106929
1996-01-24,0.9981796226345164,1.007114302454946,0.9981796226345164
1996-01-25,0.9936935759708229,1.0035561676243727,0.9936935759708229
1996-01-26,0.9928504623516963,1.0121967862276187,0.9928504623516963
1996-01-29,0.9967635841654716,1.016262780717895,0.9967635841654716
1996-01-30,1.0021903503460465,1.0249030468795586,1.0021903503460465
1996-01-31,1.0124235405831685,1.0355763872097623,1.0124235405831685
1996-02-01,1.016160988430296,1.0393883438910816,1.016160988430296
1996-02-02,1.0164056029672732,1.0350686459338703,1.0164056029672732
1996-02-05,1.0232029694875353,1.0434547721032266,1.0232029694875353
1996-02-06,1.0303982566819827,1.053365505528663,1.0303982566819827
1996-02-07,1.0300719211871017,1.059464491805674,1.0300719211871017
1996-02-08,1.036999332253264,1.0709003515302244,1.036999332253264
1996-02-09,1.038774936579827,1.0706465481469118,1.038774936579827
1996-02-12,1.0430491954953787,1.0787791793266357,1.0430491954953787
1996-02-13,1.0406533168924978,1.0764921674664631,1.0406533168924978
1996-02-14,1.035732414084793,1.0670890083836435,1.035732414084793
1996-02-15,1.0337143431818845,1.060481593243732,1.0337143431818845
1996-02-16,1.0324016605104394,1.056161191232857,1.0324016605104394
1996-02-20,1.0201057436468932,1.0457421610813449,1.0201057436468932
1996-02-21,1.0327400011546943,1.0587030894257872,1.0327400011546943
1996-02-22,1.044482272747691,1.0754761224715599,1.044482272747691
1996-02-23,1.041978367044159,1.0724260721882306,1.041978367044159
1996-02-26,1.03218519936526,1.0571783182938583,1.03218519936526
1996-02-27,1.0270633843073491,1.05387463604919,1.0270633843073491
1996-02-28,1.0270027067840999,1.0490457824668127,1.0270027067840999
1996-02-29,1.026005081752264,1.0388805288347094,1.026005081752264
1996-03-01,1.0344907816398847,1.0553987292431812,1.0344907816398847
1996-03-04,1.0463791284817379,1.0614978784994775,1.0463791284817379
1996-03-05,1.0527004251789835,1.071409084191027,1.0527004251789835
1996-03-06,1.0511532034255713,1.0620063980681667,1.0511532034255713
1996-03-07,1.0525656713901475,1.0673429802184593,1.0525656713901475
1996-03-08,1.0221811837501704,1.0327813471760054,1.0221811837501704
1996-03-11,1.0348789712891422,1.044725463456096,1.0348789712891422
1996-03-12,1.030121377649077,1.0365933204485538,1.030121377649077
1996-03-13,1.042410000447202,1.0437084970001127,1.042410000447202
1996-03-14,1.0506560087229224,1.0482830713424642,1.0506560087229224
1996-03-15,1.0493099593275959,1.0475891079492354,1.0493099593275959
1996-03-18,1.0618100457298236,1.0677551982772582,1.0618100457298236
1996-03-19,1.0649700567901519,1.0654573890905654,1.0649700567901519
1996-03-20,1.060198119992535,1.064180971138435,1.060198119992535
1996-03-21,1.0591162184182958,1.0616280009886738,1.0591162184182958
1996-03-22,1.0647380736202001,1.0644360070512888,1.0647380736202001
1996-03-25,1.0602157874754086,1.0623944187897645,1.0602157874754086
1996-03-26,1.0639883145735756,1.0674992239720493,1.0639883145735756
1996-03-27,1.0641272697652833,1.0577988585238154,1.0641272697652833
1996-03-28,1.06671013432679,1.0618830199165756,1.06671013432679
1996-03-29,1.0628853650835641,1.0567774863568167,1.062730411766635
1996-04-01,1.0703321822771847,1.0690297645336377,1.0701761433219894
1996-04-02,1.0697359782405083,1.0710716113838972,1.0695800262032404
1996-04-03,1.0764145651510286,1.0710716113838972,1.0762576394723615
1996-04-04,1.080411408211678,1.0703057951817576,1.0802538998510869
1996-04-08,1.0652454632522694,1.0519265040668966,1.065090165867154
1996-04-09,1.0744111572181767,1.0478418734516048,1.074254523607417
1996-04-10,1.0663613479810647,1.029208101416015,1.0662058879160916
1996-04-11,1.0649826483737128,1.027931883370259,1.0648273893032065
1996-04-12,1.0701979600592206,1.0409506406731432,1.070041940671684
1996-04-15,1.0817966518577362,1.0496290461644353,1.081638941548652
1996-04-16,1.0904656533998867,1.052691863721143,1.0903066792757312
1996-04-17,1.0868384311511772,1.0501390859516193,1.086679985823576
1996-04-18,1.0944747178212224,1.0516701887389368,1.0943151592334455
1996-04-19,1.1017185260034608,1.054222592287006,1.1015579113731961
1996-04-22,1.103485016260346,1.062390708932046,1.1033241441013453
1996-04-23,1.1165389021926273,1.0657096175067495,1.1163761269658166
1996-04-24,1.1164832700449752,1.0618805228510477,1.1163205029285272
1996-04-25,1.1233720869992379,1.0667301311989084,1.12320831559289
1996-04-26,1.1247548055505014,1.0690278679015108,1.124590832563783
1996-04-29,1.126220522320931,1.0690278679015108,1.1260563356539015
1996-04-30,1.1222502758565098,1.0682624439480932,1.1220866679940054
1996-05-01,1.1240525013211282,1.0705602764650255,1.123888630720211
1996-05-02,1.1121919407235958,1.0521819681989504,1.1120297992209103
1996-05-03,1.1100054035197153,1.0506499912532528,1.1098435807825369
1996-05-06,1.1089349242494728,1.0496287594617546,1.108773257572693
1996-05-07,1.1026928181880336,1.0452895941701397,1.1025320615200567
1996-05-08,1.1060856600635849,1.0583076307759345,1.1059244087683229
1996-05-09,1.1137666327645723,1.0575414160512528,1.1136042616945572
1996-05-10,1.1220306407037195,1.068006845904496,1.1218670648608442
1996-05-13,1.1317075223305035,1.0840878249832802,1.1315425357382147
1996-05-14,1.135906442525549,1.0907246106478277,1.1357408437914118
1996-05-15,1.1372169242166716,1.0894484628533696,1.1370511344332537
1996-05-16,1.1369095472810418,1.0917461096615273,1.1367438023087362
1996-05-17,1.1405088447519,1.097617520239287,1.140342575054069
1996-05-20,1.1428989853332423,1.1050198527957809,1.1427323671874758
1996-05-21,1.1423132281696262,1.103488295279806,1.1421466954187842
1996-05-22,1.1492957541619424,1.1139537782722397,1.149128203459778
1996-05-23,1.1440591184428932,1.1093587189368668,1.143892331166495
1996-05-24,1.1466222694100003,1.1136985302453477,1.1464551084632542
1996-05-28,1.1343458945669684,1.1024668805678233,1.1341805233381583
1996-05-29,1.1272029645530675,1.0950638154648102,1.1270386346601666
1996-05-30,1.1377313534495948,1.1006793027105137,1.1375654886698332
1996-05-31,1.1381441591935129,1.092511161605099,1.137978234232643
1996-06-03,1.1348205333305343,1.0955745629022398,1.1346550929062558
1996-06-04,1.1437645021157132,1.1032326290969265,1.1435977577901153
1996-06-05,1.1501075841718822,1.1129322503719465,1.1499399151166414
