ticker,weight,mc,shares,price
ES,0.058509874382384065,274667010.0,88889000.0,3.09
STZ,0.032816993118761684,489707640.00000006,23589000.0,20.76
AKS,0.017643408523199407,910863240.0,110274000.0,8.26
MWW,0.01573085085918739,1021606040.0,128828000.0,7.93
JNS,0.013649245071539107,1177408140.0,186594000.0,6.31
CBS,0.01336410178641129,1202529920.0,43444000.0,27.68
TLAB,0.010898725499998147,1474551520.0,364988000.0,4.04
FII,0.010172366763312426,1579842000.0,104280000.0,15.15
SVU,0.00932555974083218,1723299479.9999998,212229000.0,8.12
ITT,0.008963753255395385,1792857499.9999998,92750000.0,19.33
CPWR,0.00883738497080234,1818494080.0,218569000.0,8.32
DF,0.007811075771897928,2057428799.9999998,183699000.0,11.2
FHN,0.007620245625355639,2108952000.0,263619000.0,8.0
THC,0.00721239451555242,2228210370.0,434349000.0,5.13
PKI,0.007105661389800956,2261680000.0,113084000.0,20.0
ETFC,0.007074851463981581,2271529280.0,285368000.0,7.96
MOLX,0.00704837634741317,2280061600.0,95560000.0,23.86
PHM,0.006653588435368444,2415348110.0,382781000.0,6.31
BIG,0.006487538975166456,2477169280.0,65603000.0,37.76
LXK,0.006462248137447415,2486864000.0,75200000.0,33.07
