ticker,weight,mc,shares,price
BEAM,0.05963446510123947,136298750.0,31154000.0,4.375
BMC,0.0478757358281111,169775000.0,27164000.0,6.25
EXC,0.03805826216330741,213570000.0,12204000.0,17.5
MWI,0.0368630752883168,220494437.5,19709000.0,11.1875
SMI,0.018284239042288656,444541500.0,10728000.0,41.4375
HPH,0.016850421469436,482367937.5,47349000.0,10.1875
COP,0.014951999273780528,543613125.0,26357000.0,20.625
NC,0.01366361679523925,594872000.0,6466000.0,92.0
AR,0.013553132152772717,599721375.0,39651000.0,15.125
ACV,0.013460946361785778,603828500.0,23914000.0,25.25
CAR,0.012537002458095982,648329062.5,32931000.0,19.6875
RML,0.011071989307135174,734114062.5,36141000.0,20.3125
DGN,0.009921057675599459,819277875.0,49842000.0,16.4375
PRD,0.00991855920381333,819484250.0,43852000.0,18.6875
RDC,0.009818435001670083,827841000.0,83832000.0,9.875
ANV,0.009790573666190225,830196812.5,27731000.0,29.9375
RBK,0.009680699722082476,839619375.0,56445000.0,14.875
CYM,0.008937972762200557,909390000.0,90939000.0,10.0
JOS,0.008783208540305886,925413875.0,35338000.0,26.1875
TUP,0.00858332505931658,946964375.0,57610000.0,16.4375
