ticker,weight,mc,shares,price
LB,0.06630991983032773,248343680.0,15808000.0,15.71
ES,0.03336067836329321,493624540.0,88622000.0,5.57
STZ,0.03141389637659006,524215440.0,23688000.0,22.13
CBS,0.01738981652631694,946970860.0,49762000.0,19.03
MDP,0.013023589831995093,1264447800.0,36492000.0,34.65
DF,0.010225192688362554,1610497720.0,182183000.0,8.84
AKS,0.009145719730767209,1800585410.0,109993000.0,16.37
QLGC,0.009122121837386754,1805243320.0,106066000.0,17.02
SVU,0.008059859893360695,2043168210.0000002,212167000.0,9.63
NOVL,0.007896851568931105,2085343680.0,352254000.0,5.92
MOLX,0.007584852628892071,2171123200.0,95560000.0,22.72
GAS,0.007243759321532178,2273356800.0,45540000.0,49.92
BIG,0.007163724496662631,2298755280.0,75468000.0,30.46
JNS,0.006909931552527815,2383185620.0,183746000.0,12.97
TLAB,0.006700257819417164,2457763560.0,362502000.0,6.78
TER,0.00646587381114934,2546856000.0,181400000.0,14.04
CPWR,0.0064504920509227456,2552929200.0,218760000.0,11.67
FII,0.006114215959427417,2693337890.0,102917000.0,26.17
R,0.006046528413666399,2723488320.0,51738000.0,52.64
LXK,0.006019761171664551,2735598480.0,78564000.0,34.82
