ticker,weight,mc,shares,price
NWS,0.016350006595991014,3547425100.0,199630000.0,17.77
RL,0.011593930651991017,5002654020.0,48223000.0,103.74
39490,0.010828077947071626,5356483770.0,377483000.0,14.19
DVN,0.009590736560405436,6047546340.0,382514000.0,15.81
58413,0.009007574075726544,6439072640.0,75647000.0,85.12
KIM,0.00893439947766926,6491809990.0,432499000.0,15.01
HII,0.008401905191639521,6903246640.0,40493000.0,170.48
NWSA,0.00825304383212971,7027761510.0,391083000.0,17.97
FOX,0.007829665746314734,7407777760.0,256502000.0,28.88
AOS,0.007812270226147688,7424272600.0,135430000.0,54.82
FANG,0.007580308836226177,7651459200.0,158088000.0,48.4
REG,0.00751813091399195,7714739800.000001,169220000.0,45.59
IVZ,0.007244430344194433,8006209050.0,459335000.0,17.43
NCLH,0.007226005297034822,8026623480.0,315636000.0,25.43
AIZ,0.007178005572431153,8080297960.0,59318000.0,136.22
CF,0.007004299795166313,8280688360.0,213916000.0,38.71
IRM,0.0068273695993804695,8495281080.0,288171000.0,29.48
TPR,0.006727223739329696,8621747400.0,277405000.0,31.08
MOS,0.006649243229796784,8722860900.0,379090000.0,23.01
NI,0.006597792501208602,8790883280.0,383212000.0,22.94
