ticker,weight,mc,shares,price
NWS,0.020305630224203546,2896631300.0,199630000.0,14.51
NWSA,0.01070425309356171,5494818140.0,388601000.0,14.14
PWR,0.01015364562969614,5792788740.0,142294000.0,40.71
RL,0.010088947290569038,5829936700.0,49735000.0,117.22
AOS,0.009008041551107734,6529490760.0,137059000.0,47.64
TPR,0.007903516813630239,7441993920.0,275936000.0,26.97
PNR,0.007628362526299667,7710425910.0,168093000.0,45.87
ALB,0.007594652004075763,7744650320.000001,106033000.0,73.04
AIZ,0.007400187359132802,7948166880.000001,60636000.0,131.08
IVZ,0.007207183226103034,8161014120.0,453894000.0,17.98
MOS,0.007176040617839766,8196431320.0,378763000.0,21.64
FFIV,0.006926977479913236,8491138341.97,60803000.0,139.64999
KIM,0.006726318386282617,8744445430.0,422233000.0,20.71
IRM,0.006427312194551847,9151247410.0,287143000.0,31.87
SNA,0.006330694447811894,9290911851.54,54846000.0,169.39999
HSIC,0.006149600009882157,9564512160.0,143353000.0,66.72
FOX,0.0061204449591137355,9610073200.0,264013000.0,36.4
DVA,0.006119063143825149,9612243360.0,128112000.0,75.03
39490,0.006112374879380672,9622761240.0,376036000.0,25.59
58413,0.0060499347407015035,9722075790.0,75523000.0,128.73
