ticker,weight,mc,shares,price
FOSL,0.016327610692319694,1759450000.0,48125000.0,36.56
CNX,0.01587576255170932,1809526600.0,229054000.0,7.9
CBS,0.014571130903830385,1971543240.0,37827000.0,52.12
URBN,0.01076322475552493,2669052750.0,117321000.0,22.75
SWN,0.010508901990367995,2733645690.0,384479000.0,7.11
NWS,0.010308330666963786,2786834800.0,199630000.0,13.96
OI,0.010253278445745561,2801797960.0000005,160838000.0,17.42
DO,0.009926423521752088,2894054900.0,137159000.0,21.1
GME,0.00978812107688013,2934946800.0,104670000.0,28.04
CHK,0.009598846383018384,2992819500.0,665071000.0,4.5
THC,0.009512547466967771,3019970700.0,99669000.0,30.3
R,0.009461878771214524,3036142750.0,53425000.0,56.83
PWR,0.009279363405619176,3095860500.0,152882000.0,20.25
STZ,0.008619973232176162,3332680260.0,23361000.0,142.66
TDC,0.008175514856198565,3513860000.0,133000000.0,26.42
NRG,0.007768731242243573,3697851520.0,314176000.0,11.77
DNB,0.007649879917563152,3755302690.0000005,36133000.0,103.93
FLIR,0.007451238934906191,3855414500.0,137350000.0,28.07
MUR,0.007438607684787591,3861961250.0,172025000.0,22.45
NAVI,0.007189002798413907,3996049999.9999995,349000000.0,11.45
