ticker,weight,mc,shares,price
NWS,0.01812060111213896,3313858000.0000005,199630000.0,16.6
AIZ,0.01106609832352685,5426402080.0,53812000.0,100.84
RL,0.010454398584509007,5743907550.0,55395000.0,103.69
PWR,0.009923603772373632,6051138310.0,154721000.0,39.11
NWSA,0.009669965667269432,6209856480.0,383088000.0,16.21
AES,0.008396137131196307,7151991210.0,660387000.0,10.83
ALLE,0.007941299666429542,7561621080.0,95043000.0,79.56
KIM,0.007772740473675401,7725601949.999999,425653000.0,18.15
52329,0.007553758948026612,7949565159.999999,120521000.0,65.96
PKI,0.0074505821045710895,8059652000.000001,110225000.0,73.12
FFIV,0.00739961101593018,8115169680.0,61844000.0,131.22
CMG,0.007358792281382201,8160183989.999999,28233000.0,289.03
NI,0.0069457041475653675,8645501980.0,336794000.0,25.67
AOS,0.006720205565798566,8935604480.0,145816000.0,61.28
MOS,0.006666238780626232,9007943000.0,351050000.0,25.66
NRG,0.006658830961717928,9017964160.0,316642000.0,28.48
RE,0.006608134956380664,9087147789.3,41070000.0,221.25999
TSCO,0.006411118868360283,9366399250.0,125303000.0,74.75
PNW,0.006309559797974068,9517161400.0,111730000.0,85.18
58413,0.006232413512573697,9634967070.0,72547000.0,132.81
