ticker,weight,mc,shares,price
DYN,0.029674047232066424,323882860.0,274477000.0,1.18
PWER,0.021188349698499885,453594330.0,79999000.0,5.67
ATI,0.019131442920628426,502362280.00000006,80636000.0,6.23
OMX,0.01548736278278143,620565000.0,124113000.0,5.0
MIR,0.012724404362676495,755313570.0,403911000.0,1.87
LPX,0.011401891847252495,842922860.0,104581000.0,8.06
TUP,0.01092625749735539,879616400.0,58330000.0,15.08
AV,0.010772752916923428,892150350.0000001,364143000.0,2.45
PMCS,0.010326056665739193,930743999.9999999,167400000.0,5.56
AYE,0.010114770862687326,950186160.0,125686000.0,7.56
HPC,0.010001185548234169,960977600.0000001,109202000.0,8.8
AM,0.009933953547113936,967481400.0,61233000.0,15.8
TNB,0.009755269866675883,985202399.9999999,58296000.0,16.9
ANDW,0.009508985427622733,1010719319.9999999,98319000.0,10.28
GTW,0.009445371733243798,1017526420.0,324053000.0,3.14
PKI,0.00922053622270008,1042338000.0,126344000.0,8.25
AMCC,0.008613042619564493,1115856000.0,302400000.0,3.69
CTB,0.008518142540825011,1128287680.0,73552000.0,15.34
CR,0.00809986532184127,1186552480.0,59536000.0,19.93
GT,0.00805041705045679,1193840670.0,175307000.0,6.81
